正式法令名,略称法令名１,略称法令名２,略称法令名３,略称法令名４,略称法令名５
国際航海船舶及び国際港湾施設の保安の確保等に関する法律施行規則,国際船舶・港湾保安法施行規則,,,,
国際航海船舶及び国際港湾施設の保安の確保等に関する法律施行令,国際船舶・港湾保安法施行令,,,,
国際連合平和維持活動等に対する協力に関する法律,ＰＫＯ協力法,国連平和協力法,ＰＫＯ法,,
国際連合平和維持活動等に対する協力に関する法律施行規則,ＰＫＯ協力法施行規則,国連平和協力法施行規則,ＰＫＯ法施行規則,,
国際連合平和維持活動等に対する協力に関する法律施行令,ＰＫＯ協力法施行令,国連平和協力法施行令,ＰＫＯ法施行令,,
国税関係法令に係る行政手続等における情報通信の技術の利用に関する省令,国税関係法令行政手続オンライン化法に関する省令,国税関係法令行政手続ＩＴ利用法に関する省令,,,
国土交通省の所管する法令に係る行政手続等における情報通信の技術の利用に関する法律施行規則,国土交通省所管法令行政手続オンライン化法施行規則,国土交通省所管法令行政手続ＩＴ利用法施行規則,,,
国土交通省関係化学物質の審査及び製造等の規制に関する法律施行規則,国土交通省化審法施行規則,,,,
国土交通省関係自動車運転代行業の業務の適正化に関する法律施行規則,国土交通省関係運転代行業適正化法施行規則,国土交通省関係自動車運転代行業法施行規則,,,
国等における温室効果ガス等の排出の削減に配慮した契約の推進に関する法律,環境配慮契約法,グリーン契約法,,,
国等における温室効果ガス等の排出の削減に配慮した契約の推進に関する法律第二条第三項の法人を定める政令,環境配慮契約法政令,,,,
国等による環境物品等の調達の推進等に関する法律,グリーン購入法,環境物品調達推進法,,,
国等による環境物品等の調達の推進等に関する法律第二条第二項の法人を定める政令,グリーン購入法法人政令,環境物品調達推進法法人政令,,,
国民の祝日に関する法律,祝日法,,,,
債権管理回収業に関する特別措置法,サービサー法,,,,
債権管理回収業に関する特別措置法の規定に基づく警察庁長官の意見の陳述等の実施に関する規則,サービサー法警察庁長官意見陳述等規則,,,,
債権管理回収業に関する特別措置法施行規則,サービサー法施行規則,,,,
債権管理回収業に関する特別措置法施行令,サービサー法施行令,,,,
裁判の迅速化に関する法律,裁判迅速化法,,,,
裁判員の参加する刑事裁判に関する法律,裁判員法,,,,
裁判外紛争解決手続の利用の促進に関する法律,ADR法,,,,
裁判外紛争解決手続の利用の促進に関する法律施行規則,ADR法施行規則,,,,
裁判外紛争解決手続の利用の促進に関する法律施行令,ADR法施行令,,,,
裁判官の育児休業に関する法律,裁判官育児休業法,,,,
裁判所の休日に関する法律,裁判所休日法,,,,
財務諸表等の用語、様式及び作成方法に関する規則,財務諸表等規則,,,,
財務省関係の行政手続等における情報通信の技術の利用に関する法律施行規則,財務省関係行政手続オンライン化法施行規則,財務省関係行政手続ＩＴ利用法施行規則,,,
産業廃棄物の処理に係る特定施設の整備の促進に関する法律,産業廃棄物法,産廃法,,,
産業廃棄物の処理に係る特定施設の整備の促進に関する法律施行規則,産業廃棄物法施行規則,産廃法施行規則,,,
産業廃棄物の処理に係る特定施設の整備の促進に関する法律施行令,産業廃棄物法施行令,産廃法施行令,,,
使用済自動車の再資源化等に関する法律,自動車リサイクル法,,,,
使用済自動車の再資源化等に関する法律施行規則,自動車リサイクル法施行規則,,,,
使用済自動車の再資源化等に関する法律施行令,自動車リサイクル法施行令,,,,
使用済自動車の再資源化等に関する法律施行令第一条第五号の特殊の用途に使用する自動車を定める省令,自動車リサイクル法施行令の特殊の用途に使用する自動車を定める省令,,,,
子どもの読書活動の推進に関する法律,子ども読書活動推進法,,,,
私的独占の禁止及び公正取引の確保に関する法律の一部を改正する法律の施行に伴う経過措置を定める規則,独禁法経過措置規則,独占禁止法経過措置規則,,,
私的独占の禁止及び公正取引の確保に関する法律の適用除外制度の整理等に関する法律第十六条及び第二十条の施行に伴う経過措置を定める省令,独禁法経過措置省令,独占禁止法経過措置省令,,,
私的独占の禁止及び公正取引の確保に関する法律施行令,独禁法施行令,独占禁止法施行令,,,
私的独占の禁止及び公正取引の確保に関する法律第九条から第十六条までの規定による認可の申請、報告及び届出等に関する規則,独禁法認可の申請、報告及び届出等規則,独占禁止法認可の申請、報告及び届出等規則,,,
私的独占の禁止及び公正取引の確保に関する法律第四十七条第二項の審査官の指定に関する政令,独禁法審査官指定政令,独占禁止法審査官指定政令,,,
私的独占の禁止及び公正取引の確保に関する法律第十一条第一項第六号に規定する他の国内の会社の事業活動を拘束するおそれがない場合を定める規則,独禁法他の国内の会社の事業活動を拘束するおそれがない場合を定める規則,独占禁止法他の国内の会社の事業活動を拘束するおそれがない場合を定める規則,,,
私的独占の禁止及び公正取引の確保に関する法律第十条第三項に規定する他の国内の会社から除くものとして公正取引委員会規則で定める会社を定める規則,独禁法公正取引委員会規則で定める会社を定める規則,独占禁止法公正取引委員会規則で定める会社を定める規則,,,
資金決済に関する法律,資金決済法,,,,
資金決済に関する法律施行令,資金決済法施行令,,,,
資源の有効な利用の促進に関する法律,リサイクル法,,,,
資源の有効な利用の促進に関する法律の規定に基づく立入検査をする職員の携帯する身分を示す証明書の様式を定める省令,リサイクル法立入検査職員身分証明書様式省令,,,,
資源の有効な利用の促進に関する法律施行令,リサイクル法施行令,,,,
資源の有効な利用の促進に関する法律施行令別表第五の六の項の上欄に規定する特定容器包装に関する省令,リサイクル法施行令特定容器包装省令,,,,
資源の有効な利用の促進に関する法律施行令別表第五の六の項の中欄第一号に規定する特定容器包装を定める省令,リサイクル法施行令特定容器包装省令,,,,
資源の有効な利用の促進に関する法律施行令別表第三の十五の項の上欄に規定する石油ストーブに関する省令,リサイクル法施行令石油ストーブ省令,,,,
資源の有効な利用の促進に関する法律施行令別表第二の四の項の上欄に規定する複写機に関する省令,リサイクル法施行令複写機省令,,,,
資源の有効な利用の促進に関する法律第十二条に規定する計画に関する省令,リサイクル法計画省令,,,,
資産の流動化に関する法律,資産流動化法,,,,
資産の流動化に関する法律施行規則,資産流動化法施行規則,,,,
資産の流動化に関する法律施行令,資産流動化法施行令,,,,
飼料の安全性の確保及び品質の改善に関する法律,飼料安全法,,,,
飼料の安全性の確保及び品質の改善に関する法律の一部を改正する等の法律　抄,飼料安全法一部改正法　抄,,,,
飼料の安全性の確保及び品質の改善に関する法律施行規則,飼料安全法施行規則,,,,
飼料の安全性の確保及び品質の改善に関する法律施行令,飼料安全法施行令,,,,
児童虐待の防止等に関する法律,児童虐待防止法,,,,
児童虐待の防止等に関する法律施行令,児童虐待防止法施行令,,,,
児童買春、児童ポルノに係る行為等の規制及び処罰並びに児童の保護等に関する法律,児童買春禁止法,,,,
自動車から排出される窒素酸化物及び粒子状物質の特定地域における総量の削減等に関する特別措置法,排ガス抑制法,自動車ＮＯｘ・ＰＭ法,,,
自動車から排出される窒素酸化物及び粒子状物質の特定地域における総量の削減等に関する特別措置法施行規則,排ガス抑制法施行規則,自動車ＮＯｘ・ＰＭ法施行規則,,,
自動車から排出される窒素酸化物及び粒子状物質の特定地域における総量の削減等に関する特別措置法施行令,排ガス抑制法施行令,自動車ＮＯｘ・ＰＭ法施行令,,,
自動車の保管場所の確保等に関する法律,ガレージ法,車庫法,,,
自動車の保管場所の確保等に関する法律施行規則,ガレージ法施行規則,車庫法施行規則,,,
自動車の保管場所の確保等に関する法律施行令,ガレージ法施行令,車庫法施行令,,,
自動車運転代行業の業務の適正化に関する法律,運転代行業適正化法,自動車運転代行業法,,,
自動車運転代行業の業務の適正化に関する法律の施行に伴う道路交通法施行規則の規定の読替えに関する内閣府令,運転代行業適正化法施行に伴う道交法施行規則の読替え府令,自動車運転代行業法施行に伴う道交法施行規則の読替え府令,,,
自動車運転代行業の業務の適正化に関する法律施行令,運転代行業適正化法施行令,自動車運転代行業法施行令,,,
自動車損害賠償保障事業業務委託契約準則,自賠事業業務委託契約準則,,,,
自動車損害賠償保障事業賦課金等の金額を定める政令,自賠事業賦課金等政令,,,,
自動車損害賠償保障法,自賠法,,,,
自動車損害賠償保障法施行規則,自賠法施行規則,,,,
自動車損害賠償保障法施行令,自賠法施行令,,,,
自動車損害賠償保障法第二十九条の二第一項に規定する保険会社及び組合の料率団体に対する報告に関する内閣府令,自賠法料率団体報告内閣府令,,,,
自動車損害賠償保障法第二十八条の三第一項に規定する準備金の積立て等に関する命令,自賠法準備金積立て等命令,,,,
社債、株式等の振替に関する法律,社振法,社債等振替法,,,
社債、株式等の振替に関する法律施行令,社振法施行令,社債等振替法施行令,,,
主要食糧の需給及び価格の安定に関する法律,主要食糧需給価格安定法,,,,
主要食糧の需給及び価格の安定に関する法律施行規則,主要食糧需給価格安定法施行規則,,,,
主要食糧の需給及び価格の安定に関する法律施行令,主要食糧需給価格安定法施行令,,,,
酒に酔つて公衆に迷惑をかける行為の防止等に関する法律,酔っぱらい防止法,トラ退治法,,,
住居表示に関する法律,住居表示法,,,,
住居表示に関する法律施行令,住居表示法施行令,,,,
住宅確保要配慮者に対する賃貸住宅の供給の促進に関する法律,住宅セーフティネット法,,,,
住民基本台帳の一部の写しの閲覧及び住民票の写し等の交付に関する省令,住基台帳閲覧及び交付省令,,,,
住民基本台帳法,住基法,住基台帳法,,,
住民基本台帳法施行規則,住基法施行規則,住基台帳法施行規則,,,
住民基本台帳法施行令,住基法施行令,住基台帳法施行令,,,
住民基本台帳法別表第一から別表第六までの総務省令で定める事務を定める省令,住基法総務省令で定める事務省令,住基台帳法総務省令で定める事務省令,,,
銃砲刀剣類所持等取締法,銃刀法,,,,
銃砲刀剣類所持等取締法施行規則,銃刀法施行規則,,,,
銃砲刀剣類所持等取締法施行令,銃刀法施行令,,,,
銃砲刀剣類所持等取締法施行令第二条第二号の銃砲の範囲を定める命令,銃刀法銃砲の範囲命令,,,,
銃砲刀剣類所持等取締法第四条第一項第四号に規定する政令で定める者が行なう推薦の数を定める規則,銃刀法推薦数規則,,,,
銃砲刀剣類登録規則,銃刀登録規則,,,,
出資の受入れ、預り金及び金利等の取締りに関する法律,出資法,,,,
出入国管理及び難民認定法,入管法,,,,
出入国管理及び難民認定法施行規則,入管法施行規則,,,,
出入国管理及び難民認定法施行令,入管法地域政令,,,,
出入国管理及び難民認定法第七条第一項第二号の基準を定める省令,入管法基準省令,,,,
商店街の活性化のための地域住民の需要に応じた事業活動の促進に関する法律,地域商店街活性化法,,,,
商店街の活性化のための地域住民の需要に応じた事業活動の促進に関する法律施行規則,地域商店街活性化法施行規則,,,,
商店街の活性化のための地域住民の需要に応じた事業活動の促進に関する法律施行令,地域商店街活性化法施行令,,,,
商品投資に係る事業の規制に関する法律,商品ファンド法,,,,
商品投資に係る事業の規制に関する法律施行令,商品ファンド法施行令,,,,
小型自動車競走審判員、選手および小型自動車登録規則,オートレース登録規則,,,,
小型自動車競走法,オートレース法,,,,
小型自動車競走法施行規則,オートレース法施行規則,,,,
小型自動車競走法施行令,オートレース法施行令,,,,
小型船舶の登録等に関する法律,小型船舶登録法,,,,
小型船舶の登録等に関する法律の施行に伴う経過措置を定める省令,小型船舶登録法経過措置省令,,,,
小型船舶の登録等に関する法律の施行に伴う経過措置を定める政令,小型船舶登録法経過措置政令,,,,
昭和五年勅令第三十六号（高等師範学校専攻科卒業者ノ称号ニ関スル件）,高等師範学校専攻科卒業者の称号に関する件,,,,
昭和五年法律第九号（盗犯等ノ防止及処分ニ関スル法律）,盗犯等の防止及処分に関する法律,,,,
昭和三年勅令第百八十八号（大礼記念章制定ノ件）,大礼記念章制定の件,,,,
昭和四年逓信省令第十七号（船舶積量ニ関シ独逸国船舶取扱ニ関スル件）,船舶積量に関し独逸国船舶取扱に関する件,,,,
昭和七年勅令第十二号（明治四十二年法律第二十二号第一条第二項ノ規定ニ依リ樹木ノ集団ノ範囲ヲ定ムルノ件）,明治四十二年法律第二十二号第一条第二項の規定に依り樹木の集団の範囲を定むるの件,,,,
昭和七年法律第十六号（国債ノ価額計算ニ関スル法律）,国債の価額計算に関する法律,,,,
昭和十一年外務省令第四号（外務省並ニ在外公館ヘ納ムル収入印紙ノ消印方）,外務省並に在外公館へ納むる収入印紙の消印方,,,,
昭和十九年運輸通信省令第百十一号（荷受人及荷送人ヲ確知スルコト能ハザル鉄道運送品等ノ公告ニ関スル件）,荷受人及荷送人を確知すること能はざる鉄道運送品等の公告に関する件,,,,
昭和十九年法律第四号（経済関係罰則ノ整備ニ関スル法律）,経済関係罰則の整備に関する法律,,,,
昭和十五年勅令第九百四十三号（農村負債整理組合法第八条ノ規定ニ依リ同法第十一条ノ事業ヲ行フコトヲ得ル法人ヲ定ムルノ件）,農村負債整理組合法第八条の規定に依り同法第十一条の事業を行ふことを得る法人を定むるの件,,,,
昭和十四年大蔵省令第二十五号（明治四十二年法律第九号但書ノ規定ニ依ル命令ノ件）,明治四十二年法律第九号但書の規定に依る命令の件,,,,
昭和十四年大蔵省令第二十六号（明治四十一年勅令第二百八十七号第二項ノ規定ニ依リ国債ノ発行価格ニ加算スベキ金額ニ関スル件）,明治四十一年勅令第二百八十七号第二項の規定に依り国債の発行価格に加算すべき金額に関する件,,,,
昭和十二年大蔵省令第十四号（収入印紙ノ紙質ニ関スル件）,収入印紙の紙質に関する件,,,,
昭和十年大蔵省令第二号（供託又ハ寄託セル四分利付仏貨公債又ハ第三回四分利付英貨公債ノ利札継足ニ関スル特別取扱規程）,供託又は寄託せる四分利付仏貨公債又は第三回四分利付英貨公債の利札継足に関する特別取扱規程,,,,
昭和十年大蔵省令第八号（供託官吏ノ振出シタル小切手ニシテ其ノ振出日附後一年ヲ経過シタル場合及供託金ガ政府ノ所得ニ帰シタル場合ノ取扱方ニ関スル件）,供託官吏の振出したる小切手にして其の振出日附後一年を経過したる場合及供託金が政府の所得に帰したる場合の取扱方に関する件,,,,
昭和十八年勅令第六百十八号（昭和六年法律第八号ニ依リ各特別会計ヨリ一般会計ニ繰入ルル金額ノ計算ニ関スル特例ニ関スル件）,昭和六年法律第八号に依り各特別会計より一般会計に繰入るる金額の計算に関する特例に関する件,,,,
昭和十八年勅令第六百二十二号（占領地軍政官憲ノ為シタル行為ノ法律上ノ効力等ニ関スル法律ノ施行ニ関スル件）,占領地軍政官憲の為したる行為の法律上の効力等に関する法律の施行に関する件,,,,
昭和十八年法律第八十八号（陪審法ノ停止ニ関スル法律）,陪審法の停止に関する法律,,,,
昭和十八年法律第六十一号（占領地軍政官憲ノ為シタル行為ノ法律上ノ効力等ニ関スル法律）,占領地軍政官憲の為したる行為の法律上の効力等に関する法律,,,,
昭和十六年勅令第三百六十三号（無尽業法第二十一条ノ八ノ規定ニ依ル登記ニ関スル件）,無尽業法第二十一条の八の規定に依る登記に関する件,,,,
昭和二十一年二復省令第一号（死亡ニ関スル諸手続ヲ完了シタル海軍軍人及軍属生還シタル場合ニ於ケル届出等ニ関スル件）,死亡に関する諸手続を完了したる海軍軍人及軍属生還したる場合に於ける届出等に関する件,,,,
昭和二十二年政令第五十二号（ポツダム宣言の受諾に伴い発する命令に関する件に基く陸軍刑法を廃止する等の政令）　抄,ポツダム宣言の受諾に伴い発する命令に関する件に基く陸軍刑法を廃止する等の政令,,,,
昭和二十二年法律第五十四号（私的独占の禁止及び公正取引の確保に関する法律）,独禁法,独占禁止法,,,
昭和二十年一復省令第二号（死亡等ニ関スル諸手続ヲ完了セル軍人及軍属中生還セル者ノアリタル場合ニ於ケル届出ニ関スル件）,死亡等に関する諸手続を完了せる軍人及軍属中生還せる者のありたる場合に於ける届出に関する件,,,,
昭和二十年運輸省令第四十号（航海ノ制限等ニ関スル件）,航海の制限等に関する件,,,,
昭和二十年閣令第六十八号（位、勲章等ノ返上ノ請願ニ関スル件施行ノ件）,位、勲章等の返上の請願に関する件施行の件,,,,
昭和二十年勅令第七百三十号（政治犯人等ノ資格回復ニ関スル件）,政治犯人等の資格回復に関する件,,,,
昭和二十年勅令第六百九十九号（位、勲章等ノ返上ノ請願ニ関スル件）,位、勲章等の返上の請願に関する件,,,,
昭和八年司法省令第三十八号（手形法第八十三条及小切手法第六十九条ノ規定ニ依ル手形交換所ヲ指定スル省令）,手形法第八十三条及小切手法第六十九条の規定に依る手形交換所を指定する省令,,,,
昭和八年勅令第三百十七号（小切手ノ呈示期間ノ特例ニ関スル件）,小切手の呈示期間の特例に関する件,,,,
昭和八年勅令第三百二十九号（小切手法ノ適用ニ付銀行ト同視スベキ人又ハ施設ヲ定ムルノ件）,小切手法の適用に付銀行と同視すべき人又は施設を定むるの件,,,,
昭和八年法律第四十二号（身元保証ニ関スル法律）,身元保証に関する法律,,,,
昭和六年大蔵省令第二十七号（特別会計ノ恩給負担金ヲ一般会計ニ繰入ルルコトニ関スル法律施行事務取扱細則）,特別会計の恩給負担金を一般会計に繰入るることに関する法律施行事務取扱細則,,,,
昭和六年勅令第二百三号（特別会計ノ恩給負担金ヲ一般会計ニ繰入ルルコトニ関スル法律ノ施行ニ関スル件）,特別会計の恩給負担金を一般会計に繰入るることに関する法律の施行に関する件,,,,
昭和六年法律第九号（特別会計ニ於ケル営繕費ニ関スル法律）,特別会計に於ける営繕費に関する法律,,,,
昭和六年法律第八号（特別会計ノ恩給負担金ヲ一般会計ニ繰入ルルコトニ関スル法律）,特別会計の恩給負担金を一般会計に繰入るることに関する法律,,,,
証券取引法及び金融先物取引法の一部を改正する法律の一部の施行に伴う経過措置に関する政令,証取法等経過措置政令,,,,
障害のある児童及び生徒のための教科用特定図書等の普及の促進等に関する法律,教科用特定図書等普及促進法,,,,
障害のある児童及び生徒のための教科用特定図書等の普及の促進等に関する法律施行規則,教科用特定図書等普及促進法施行規則,,,,
障害のある児童及び生徒のための教科用特定図書等の普及の促進等に関する法律施行令,教科用特定図書等普及促進法施行令,,,,
障害者の雇用の促進等に関する法律,障害者雇用促進法,,,,
障害者の雇用の促進等に関する法律施行規則,障害者雇用促進法施行規則,,,,
障害者の雇用の促進等に関する法律施行令,障害者雇用促進法施行令,,,,
障害者の日常生活及び社会生活を総合的に支援するための法律,障害者総合支援法,,,,
職業訓練の実施等による特定求職者の就職の支援に関する法律,求職者支援法,,,,
食品の製造過程の管理の高度化に関する臨時措置法,ＨＡＣＣＰ手法支援法,,,,
食品の製造過程の管理の高度化に関する臨時措置法施行規則,ＨＡＣＣＰ手法支援法施行規則,,,,
食品の製造過程の管理の高度化に関する臨時措置法施行令,ＨＡＣＣＰ手法支援法施行令,,,,
食品循環資源の再生利用等の促進に関する食品関連事業者の判断の基準となるべき事項を定める省令,食品リサイクル事業者判断基準省令,,,,
食品循環資源の再生利用等の促進に関する法律,食品リサイクル法,,,,
食品循環資源の再生利用等の促進に関する法律に基づく再生利用事業を行う者の登録に関する省令,食品リサイクル法再生利用事業者登録省令,,,,
食品循環資源の再生利用等の促進に関する法律に基づく再生利用事業計画の認定に関する省令,食品リサイクル法再生利用事業計画認定省令,,,,
食品循環資源の再生利用等の促進に関する法律施行令,食品リサイクル法施行令,,,,
食品循環資源の再生利用等の促進に関する法律第二十四条第一項及び第三項の規定による立入検査をする職員の携帯する身分を示す証明書の様式を定める省令,食品リサイクル法立入検査職員身分証明書様式省令,,,,
食品循環資源の再生利用等の促進に関する法律第二十四条第二項の規定による立入検査をする職員の携帯する身分を示す証明書の様式を定める省令,食品リサイクル法立入検査職員身分証明書様式省令,,,,
食品循環資源の再生利用等の促進に関する法律第二条第七項の方法を定める省令,食品リサイクル法減量方法省令,,,,
心神喪失等の状態で重大な他害行為を行った者の医療及び観察等に関する法律,心神喪失者等医療観察法,,,,
身体障害者福祉法,身障者福祉法,,,,
身体障害者福祉法施行規則,身障者福祉法施行規則,,,,
身体障害者福祉法施行令,身障者福祉法施行令,,,,
身体障害者補助犬法,身障者補助犬法,,,,
身体障害者補助犬法施行規則,身障者補助犬法施行規則,,,,
身体障害者補助犬法施行令,身障者補助犬法公共法人政令,,,,
人の健康に係る公害犯罪の処罰に関する法律,公害罪法,,,,
人事院規則一〇―一〇（セクシュアル・ハラスメントの防止等）,セクハラ防止等,,,,
人事院規則一―三九（構造改革特別区域における人事院規則の特例に関する措置）,特区における人事院規則の特例措置及び特定事業,,,,
性同一性障害者の性別の取扱いの特例に関する法律,性同一性障害特例法,,,,
政治倫理の確立のための仮名による株取引等の禁止に関する法律,仮名株取引禁止法,,,,
政治倫理の確立のための国会議員の資産等の公開等に関する法律,資産公開法,,,,
政府契約の支払遅延防止等に関する法律,支払遅延防止法,,,,
生涯学習の振興のための施策の推進体制等の整備に関する法律,生涯学習振興法,,,,
生涯学習の振興のための施策の推進体制等の整備に関する法律施行令,生涯学習振興法施行令,,,,
生活関連物資等の買占め及び売惜しみに対する緊急措置に関する法律,買占め防止法,,,,
生活関連物資等の買占め及び売惜しみに対する緊急措置に関する法律施行令,買占め防止法施行令,,,,
精神保健及び精神障害者福祉に関する法律,精神保健福祉法,,,,
精神保健及び精神障害者福祉に関する法律施行規則,精神保健法施行規則,,,,
精神保健及び精神障害者福祉に関する法律施行令,精神保健福祉法施行令,,,,
製造物責任法,ＰＬ法,,,,
青少年が安全に安心してインターネットを利用できる環境の整備等に関する法律,青少年インターネット環境整備法,,,,
青少年が安全に安心してインターネットを利用できる環境の整備等に関する法律施行令,青少年インターネット環境整備法施行令,,,,
石油の備蓄の確保等に関する法律,石油備蓄法,,,,
石油の備蓄の確保等に関する法律施行規則,石油備蓄法施行規則,,,,
絶滅のおそれのある野生動植物の種の保存に関する法律,種の保存法,,,,
絶滅のおそれのある野生動植物の種の保存に関する法律施行規則,種の保存法施行規則,,,,
絶滅のおそれのある野生動植物の種の保存に関する法律施行令,種の保存法施行令,,,,
絶滅のおそれのある野生動植物の種の保存に関する法律第五十二条の規定による負担金の徴収方法等に関する省令,種の保存法負担金徴収方法等省令,,,,
船員に関する育児休業、介護休業等育児又は家族介護を行う労働者の福祉に関する法律施行規則,船員育児・介護休業法施行規則,,,,
船員に関する個別労働関係紛争の解決の促進に関する法律施行規則,船員個別労働関係紛争解決促進法施行規則,,,,
船員に関する雇用の分野における男女の均等な機会及び待遇の確保等に関する法律施行規則,船員男女雇用機会均等法,,,,
船舶に設置する軽水減速加圧軽水冷却型原子炉であつて研究開発段階にあるものの運転計画に関する規則,原子炉等規制法船舶に設置するものの運転計画規則,,,,
船舶の所有者等の責任の制限に関する法律,船主責任制限法,,,,
船舶の所有者等の責任の制限に関する法律施行令,船主責任制限法施行令,,,,
租税特別措置の適用状況の透明化等に関する法律,租特透明化法,,,,
租税特別措置の適用状況の透明化等に関する法律施行規則,租特透明化法施行規則,,,,
租税特別措置の適用状況の透明化等に関する法律施行令,租特透明化法施行令,,,,
組織的な犯罪の処罰及び犯罪収益の規制等に関する法律,組織的犯罪処罰法,,,,
総合保養地域整備法,リゾート法,,,,
総合保養地域整備法施行令,リゾート法施行令,,,,
総合保養地域整備法第九条の地方公共団体等を定める省令,リゾート法地方公共団体省令,,,,
総務省関係構造改革特別区域法施行規則,総務省関係特区法施行規則,,,,
総務省関係法令に係る行政手続等における情報通信の技術の利用に関する法律施行規則,総務省関係法令行政手続オンライン化法施行規則,総務省関係法令行政手続ＩＴ利用法施行規則,,,
臓器の移植に関する法律,臓器移植法,,,,
臓器の移植に関する法律施行規則,臓器移植法施行規則,,,,
臓器の移植に関する法律附則第十一条第一項の法律を定める政令,臓器移植法附則法律を定める政令,,,,
対人地雷の製造の禁止及び所持の規制等に関する法律,対人地雷禁止法,,,,
対人地雷の製造の禁止及び所持の規制等に関する法律施行規則,対人地雷禁止法施行規則,,,,
貸金業法,ノンバンク規制法,,,,
貸金業法施行規則,ノンバンク規制法施行規則,,,,
貸金業法施行令,ノンバンク規制法施行令,,,,
大学等における技術に関する研究成果の民間事業者への移転の促進に関する法律,大学等技術移転促進法,ＴＬＯ法,,,
大学等における技術に関する研究成果の民間事業者への移転の促進に関する法律施行令,大学等技術移転促進法施行令,ＴＬＯ法施行令,,,
大規模小売店舗立地法,大店立地法,,,,
大規模小売店舗立地法施行規則,大店立地法施行規則,,,,
大規模小売店舗立地法施行令,大店立地法施行令,,,,
大正元年閣令第一号（大喪中ノ国旗掲揚方）,大喪中の国旗掲揚方,,,,
大正五年司法省令第三十五号（司法省主管歳入証券納付ニ関スル件）,司法省主管歳入証券納付に関する件,,,,
大正五年大蔵省令第三十一号（財務省主管歳入証券納付ニ関スル件）,財務省主管歳入証券納付に関する件,,,,
大正五年大蔵省令第三十号（歳入納付ニ使用スル証券ニ関スル件ニ依ル証券ノ納付ニ関スル制限ノ件）,歳入納付に使用する証券に関する件に依る証券の納付に関する制限の件,,,,
大正五年大蔵省令第三十二号（証券ヲ以テスル歳入納付ニ関スル法律施行細則）,証券を以てする歳入納付に関する法律施行細則,,,,
大正五年勅令第二百五十六号（歳入納付ニ使用スル証券ニ関スル件）,歳入納付に使用する証券に関する件,,,,
大正五年農商務省令第三十号（農商省主管歳入証券納付ニ関スル件）,農商省主管歳入証券納付に関する件,,,,
大正五年法律第十号（証券ヲ以テスル歳入納付ニ関スル法律）,証券を以てする歳入納付に関する法律,,,,
大正四年法律第十三号（日本学士院学術研究奨励金委任経理ニ関スル法律）,日本学士院学術研究奨励金委任経理に関する法律,,,,
大正四年法律第十八号（法人ノ役員処罰ニ関スル法律）,法人の役員処罰に関する法律,,,,
大正十一年司法省令第四十五号（信託表示簿及日附アル印章調製方）,信託表示簿及日附ある印章調製方,,,,
大正十一年大蔵省令第四十三号（会計法規ニ基ク出納計算ノ数字及記載事項ノ訂正ニ関スル件）,会計法規に基く出納計算の数字及記載事項の訂正に関する件,,,,
大正十一年逓信省令第五十六号（船舶積量互認ノ件ニ関シ帝国政府ト丁抹国政府トノ間ニ取極ヲ為シタル条規）,船舶積量互認の件に関し帝国政府と丁抹国政府との間に取極を為したる条規,,,,
大正十一年逓信省令第四十五号（船舶満載吃水線証書互認ノ件ニ関シ帝国政府ト独逸国政府トノ間ニ取極ヲ為シタル条規）,船舶満載吃水線証書互認の件に関し帝国政府と独逸国政府との間に取極を為したる条規,,,,
大正十五年逓信省令第二十四号（船舶満載吃水線証書互認ノ件ニ関シ帝国政府ト丁抹国政府トノ間ニ為シタル取極ニ関スル件）,船舶満載吃水線証書互認の件に関し帝国政府と丁抹国政府との間に為したる取極に関する件,,,,
大正十五年法律第六十号（暴力行為等処罰ニ関スル法律）,暴力行為等処罰に関する法律,,,,
大正十三年勅令第十七号（米貨公債及英貨公債ノ発行ニ関スル件）,米貨公債及英貨公債の発行に関する件,,,,
大正十四年逓信省令第八十七号（仏蘭西国船舶ノ検査ニ関スル件）,仏蘭西国船舶の検査に関する件,,,,
大正十二年勅令第五百二十八号（司法警察官吏及司法警察官吏ノ職務ヲ行フヘキ者ノ指定等ニ関スル件）抄,司法警察官吏及司法警察官吏の職務を行ふへき者の指定等に関する件,,,,
大正十二年勅令第二百九十九号（政府ニ於テ物品ノ販売ヲ問屋業者ニ委託スルコトヲ得ル場合ニ関スル件）,政府に於て物品の販売を問屋業者に委託することを得る場合に関する件,,,,
大正十二年逓信省令第五十二号（船舶積量互認ノ件ニ関シ帝国政府ト英国政府トノ間ニ取極ヲ為シタル条規）,船舶積量互認の件に関し帝国政府と英国政府との間に取極を為したる条規,,,,
大正十年勅令第二百七十二号（第一回国勢調査記念章制定ノ件）,第一回国勢調査記念章制定の件,,,,
大正十年法律第百二号（定年ニ因ル退職判事検察官ノ恩給ニ関スル法律）,定年に因る退職判事検察官の恩給に関する法律,,,,
大正六年外務省令第二号（外務省主管歳入証券納付ニ関スル件）,外務省主管歳入証券納付に関する件,,,,
宅地建物取引業法,宅建業法,,,,
宅地建物取引業法施行規則,宅建業法施行規則,,,,
宅地建物取引業法施行令,宅建業法施行令,,,,
短時間労働者の雇用管理の改善等に関する法律,パートタイム法,パート労働法,,,
短時間労働者の雇用管理の改善等に関する法律施行規則,パートタイム法施行規則,パート労働法施行規則,,,
地域における多様な主体の連携による生物の多様性の保全のための活動の促進等に関する法律,生物多様性地域連携促進法,,,,
